Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0011218992869059246    8380                     2.3759035698283277       2.5981954757108037       -0.10210777444058795     1.5799648566381437       0                        0                        0.999947675              0.05                     0.14451130644010846      0.0005                   0.3036718796356581       2e-06                    0.03466796875            0.450333                 0.5599355                
200                      0.14984155032369825      874621                   6.753813154140376        15.197209321709186       0.16734216443804317      0.8595014953659847       0                        0                        0.9891216375             0.05                     0.03501812560898543      0.0005                   0.29134512651944533      2e-06                    0.12158203125            0.080086745              0.21341072               
400                      0.30468454539775847      1745021                  9.200345219162724        24.808339994792423       0.17302697412510223      0.8417963617851706       0                        0                        0.9782416375             0.05                     0.0679810299516248       0.0005                   0.31428350461646914      2e-06                    0.35546875               0.10881654               0.3019006                
600                      0.46103533115651874      2615421                  9.872660875314626        23.526738539596145       0.17302697412510223      0.8417963617851706       0                        0                        0.9673616375             0.05                     0.17015013229683973      0.0005                   0.3069863498676568       2e-06                    0.3662109375             0.007298348              0.4729511                
800                      0.6178839409351349       3485821                  9.821732904975914        28.32928669236839        0.17302697412510223      0.8417963617851706       0                        0                        0.9564816375             0.05                     0.09748224038048647      0.0005                   0.31237512652296573      2e-06                    0.413818359375           -0.1258488               0.5173169                
1000                     0.7752286100387573       4356221                  12.211682230733619       37.69736420949628        0.17302697412510223      0.8417963617851706       0                        0                        0.9456016375             0.05                     0.0825766354391817       0.0005                   0.30814777180785313      2e-06                    0.2666015625             0.08885334               0.39553472               
1200                     0.9342967506249745       5226621                  12.105640427197734       40.886007542134635       0.17302697412510223      0.8417963617851706       0                        0                        0.9347216375             0.05                     0.12833860208047554      0.0005                   0.3024308698368259       2e-06                    0.2431640625             0.07103466               0.46090364               
1400                     1.0948947958813773       6097021                  13.205149347128195       49.96247450148125        0.17302697412510223      0.8417963617851706       0                        0                        0.9238416375             0.05                     0.11994480017165188      0.0005                   0.31666449387557805      2e-06                    0.1962890625             -0.0069449088            0.5459119                
1600                     1.255100871125857        6964061                  14.398222494030822       63.315583072073224       0.17302697412510223      0.8417963617851706       0                        0                        0.9130032375             0.05                     0.1314244255918311       0.0005                   0.29070605407468975      2e-06                    0.136474609375           0.03811158               0.46466768               
1800                     1.4154781289895375       7826781                  15.396435623780906       91.26346775798893        0.17302697412510223      0.8417963617851706       0                        0                        0.9022184375             0.05                     0.14576286848750897      0.0005                   0.29137314681429416      2e-06                    0.208740234375           -0.014435072             0.5017925                
